seed,dataset,target,model,selector,apparent_r2,apparent_r2_std,nested_r2,bias,apparent_rmse,apparent_rmse_std,nested_rmse,nested_rmse_std,bias_rmse,apparent_r2_pooled,apparent_rmse_pooled,nested_rmse_pooled,bias_pooled
2,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
3,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
4,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
5,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
6,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
7,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
8,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
9,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
10,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
11,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
0,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
1,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
2,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
3,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
4,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8444969567351859,0.010136112860608448,3.5086212496215587,0.28230378889924096,3.619729574550319,0.3316006673915343,0.1111083249287601,0.8567857313324931,3.5201504320614525,3.6355824550227163,0.012288774597307262
5,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
6,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
7,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
8,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
9,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
10,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
11,ryckewaert,chlorophyll,pls,mutual_info,0.8546330695957943,0.028715607365596394,0.8450349834152282,0.009598086180566123,3.5086212496215587,0.28230378889924096,3.614265286196764,0.323955940384115,0.10564403657520538,0.8567857313324931,3.5201504320614525,3.629421616160948,0.011750747917264937
0,ryckewaert,chlorophyll,pls,rfe,0.8511114479906334,0.027816681341886435,0.8372044852813227,0.013906962709310688,3.551662204665174,0.2429259736493619,3.7150727267739034,0.2945535802178645,0.16341052210872942,0.8535537958694437,3.5596486863690466,3.7262854150614766,0.016349310588120947
1,ryckewaert,chlorophyll,pls,rfe,0.8511114479906334,0.027816681341886435,0.8372044852813227,0.013906962709310688,3.551662204665174,0.2429259736493619,3.7150727267739034,0.2945535802178645,0.16341052210872942,0.8535537958694437,3.5596486863690466,3.7262854150614766,0.016349310588120947
2,ryckewaert,chlorophyll,pls,rfe,0.8511114479906334,0.027816681341886435,0.8372044852813227,0.013906962709310688,3.551662204665174,0.2429259736493619,3.7150727267739034,0.2945535802178645,0.16341052210872942,0.8535537958694437,3.5596486863690466,3.7262854150614766,0.016349310588120947
3,ryckewaert,chlorophyll,pls,rfe,0.8511114479906334,0.027816681341886435,0.8372044852813227,0.013906962709310688,3.551662204665174,0.2429259736493619,3.7150727267739034,0.2945535802178645,0.16341052210872942,0.8535537958694437,3.5596486863690466,3.7262854150614766,0.016349310588120947
4,ryckewaert,chlorophyll,pls,rfe,0.8511114479906334,0.027816681341886435,0.8372044852813227,0.013906962709310688,3.551662204665174,0.2429259736493619,3.7150727267739034,0.2945535802178645,0.16341052210872942,0.8535537958694437,3.5596486863690466,3.7262854150614766,0.016349310588120947
5,ryckewaert,chlorophyll,pls,rfe,0.8511114479906334,0.027816681341886435,0.8372044852813227,0.013906962709310688,3.551662204665174,0.2429259736493619,3.7150727267739034,0.2945535802178645,0.16341052210872942,0.8535537958694437,3.5596486863690466,3.7262854150614766,0.016349310588120947
6,ryckewaert,chlorophyll,pls,rfe,0.8511114479906334,0.027816681341886435,0.8372044852813227,0.013906962709310688,3.551662204665174,0.2429259736493619,3.7150727267739034,0.2945535802178645,0.16341052210872942,0.8535537958694437,3.5596486863690466,3.7262854150614766,0.016349310588120947
